level,type,soflan,title,chart_level,avg_score_crim1,avg_score_crim2,avg_score_crim3,avg_score_crim4,avg_score_imp1_1,avg_score_imp1_2,avg_score_imp1_3,avg_score_imp1_4,avg_score_imp2,avg_score_imp3
20,comp,FALSE,666,20.3,9463344,9551466,9621600,9673110,9725947,9799366,9840223,9874064,9930296,9978484
20,comp,FALSE,ΣgØ,20.1,9506955,9610945,9683426,9745340,9814061,9877688,9896515,9916696,9968255,9999281
20,comp,TRUE,"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",20.2,9276709,9347009,9405939,9457352,9528683,9660057,9716985,9774137,9908694,9997550
20,comp,FALSE,MAYHEM,20,9727693,9778490,9823579,9840367,9884357,9910774,9926289,9941034,9966222,9997751
20,note,FALSE,VVelcome!!,20.2,9238949,9331844,9421935,9490734,9584084,9679943,9741752,9796932,9898689,9975832
20,comp,FALSE,ΣmbryØ,20.2,9476784,9580351,9640401,9697448,9762740,9837070,9864646,9899253,9952316,9998612
20,comp,TRUE,*Feels Seasickness...*,20,9460966,9542902,9630486,9688132,9749378,9824553,9862066,9889565,9939650,9999646
20,comp,FALSE,FIN4LE ～終止線の彼方へ～,20.1,9327570,9418241,9477970,9543564,9619868,9712240,9765654,9812294,9908408,9976659
20,comp,FALSE,HE4VEN ～天国へようこそ～,20,9492044,9579780,9641182,9690578,9752954,9819379,9853701,9884063,9941184,9997481
20,comp,FALSE,I,20.2,9551362,9626298,9704024,9765695,9819393,9860101,9892065,9901380,9949022,9991343
20,note,FALSE,iLLness LiLin,20,9328502,9431303,9503819,9571868,9657345,9749009,9790793,9838085,9922331,9987847
20,note,FALSE,WHITEOUT,20.1,9483235,9578542,9635007,9678890,9739576,9803661,9833577,9866491,9928292,9980339
20,comp,FALSE,Xronièr,20.1,9451065,9548984,9612791,9664345,9738596,9803458,9842265,9872449,9931860,9982441
20,note,FALSE,Lachryma《Re:Queen’M》,20,9518044,9592374,9639509,9682455,9736659,9793307,9816444,9853930,9923732,9980942
19,comp,FALSE,777,19.6,9575976,9650682,9720905,9762705,9831002,9871750,9900215,9920807,9958999,9987916
19,comp,TRUE,αzalea,19.4,9592117,9687143,9764684,9810557,9845033,9899997,9919682,9945365,9983273,9995033
19,comp,FALSE,Bad Elixir,19.4,9561407,9634355,9700241,9749797,9800296,9852442,9889763,9905159,9949381,9967826
19,knob,FALSE,Chronomia,19.3,9630100,9699802,9766795,9806586,9838948,9867552,9891434,9913453,9936254,9983010
19,comp,FALSE,onslaught -Retaliation of Bahamūt-,19.3,9535485,9626488,9697323,9741286,9782530,9837687,9866085,9898253,9935662,9967224
19,comp,FALSE,VALKYRIE ASSAULT,19.3,9517285,9596611,9703775,9768410,9819115,9864612,9900869,9923864,9958358,9990854
19,note,TRUE,ディスコルディア,19.6,9482704,9585489,9660138,9715307,9768132,9824485,9872090,9897034,9934549,9982840
19,note,FALSE,ドゥサンコオデッセイ!!,19.5,9444974,9570684,9651738,9706869,9785002,9848246,9879661,9910833,9954613,9984992
19,note,FALSE,9TH5IN,19.3,9653483,9754056,9813302,9848168,9892724,9919138,9931166,9950231,9975270,9997829
19,comp,FALSE,ANGER of the GOD,19.2,9730698,9814967,9860010,9895999,9915500,9934005,9950213,9958543,9985571,9998162
19,note,FALSE,Calamity Tempest,19.5,9530357,9621811,9687341,9747433,9805121,9859525,9889647,9919957,9949184,9995346
19,knob,FALSE,Daisycutter,19.6,9596742,9649109,9706001,9746509,9770144,9814169,9868822,9876873,9925999,9980699
19,note,TRUE,ENDYMION,19.6,9370846,9431212,9511990,9553206,9657208,9748271,9821193,9859490,9939157,9981856
19,comp,FALSE,Ghost Family Living In Graveyard,19.6,9576664,9661727,9722373,9768581,9822726,9876685,9907392,9916564,9948646,9995383
19,note,TRUE,Lancelot ～Flame of the Rebellion～,19.5,9464174,9567886,9640452,9719314,9778253,9853069,9883208,9913775,9956783,9990261
19,comp,FALSE,Lisa-RICCIA,19.2,9669747,9753988,9810074,9863846,9893809,9922348,9931841,9948395,9978906,9998053
19,knob,FALSE,LubedeR,19.2,9573319,9671782,9748102,9811801,9858405,9885902,9908979,9933508,9966403,9993863
19,comp,FALSE,ΛΛemoria,19.3,9635255,9711962,9776555,9817319,9858870,9889981,9903601,9927620,9956018,9992631
19,comp,FALSE,†:OLPHEUX:†,19.3,9540326,9639366,9708870,9776777,9824481,9879153,9896413,9929192,9952278,9990349
19,comp,FALSE,OUTERHEΛVEN,19.5,9513527,9595080,9672302,9723830,9790233,9848632,9879517,9901436,9934935,9988713
