,666,ΣgØ,"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",MAYHEM,VVelcome!!,ΣmbryØ,*Feels Seasickness...*,FIN4LE ～終止線の彼方へ～,HE4VEN ～天国へようこそ～,I,iLLness LiLin,WHITEOUT,Xronièr,Lachryma《Re:Queen’M》,777,αzalea,Bad Elixir,Chronomia,onslaught -Retaliation of Bahamūt-,VALKYRIE ASSAULT,ディスコルディア,ドゥサンコオデッセイ!!,9TH5IN,ANGER of the GOD,Calamity Tempest,Daisycutter,ENDYMION,Ghost Family Living In Graveyard,Lancelot ～Flame of the Rebellion～,Lisa-RICCIA,LubedeR,ΛΛemoria,†:OLPHEUX:†,OUTERHEΛVEN,Redshift 2nd Ignition,ЯeviveR,TENKAICHI ULTIMATE BOSSRUSH MEDLEY,THE凸GENERATOR,Trill auf G,voltississimo,Xroniàl Xéro,θコトノハθカプセルθ,色を喪った街,卑弥呼,飄える翼追い掛けて,A Lasting Promise,Absolute Domination,Awakening,BELOBOG,Chrono Diver -PENDULUMs-,Cross Fire,Deadly force,Dyscontrolled Galaxy,Elemental Creation,Failnaught,Fin.ArcDeaR,Fly Like You,FREEDOM DiVE,GERBERA-For Finalists-,GODHEART,Immortal saga,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,Last Resort,Sailing Force,Staring at star,TWO-TORIAL,Xéroa,セイレーン ～悲壮の竪琴～,逆月,INF-B《L-aste-R》,FLOWER,Got more raves？,きたさいたま2000,極圏,ΑΩ,Blastix Riotz,DIABLOSIS::Nāga,Everlasting Message,FLügeL《Λrp:ΣggyØ》,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,Lord=Crossight,Preserved Valkyria,XyHATTE,月光乱舞,Innocent Tempest,IX,ラクガキスト,音楽 -resolve-,Booths of Fighters,For UltraPlayers,INSECTICIDE,Quietus Ray,Verse IV,バンブーソード・ガール,Bangin' Burst,Black Emperor,BLACK or WHITE?,Growth Memories,snow storm -euphoria-,XROSS INFECTION,大宇宙ステージ,Ganymede kamome mix
666,1.0,0.584033280784851,0.4980774030301494,0.536392754171059,0.5800173214225148,0.5556459138299047,0.5314157757622526,0.5424353785145741,0.503850263794127,0.38523288492365304,0.5210929003874221,0.4899026264311992,0.5351023680522509,0.47781225335966027,0.4399992368246137,0.5093020128722487,0.4464840284306326,0.3437473626347496,0.45065384671976916,0.4089543795324185,0.4935612059719373,0.5133239047912412,0.4902884080845332,0.4624089452471962,0.4667544875266633,0.33641844104331964,0.44422032385579757,0.5087507623816416,0.5132332193037679,0.47315096650245225,0.42291607141950804,0.48149286485637016,0.4828150218995046,0.48188363259601613,0.4528173260028483,0.5367705791300151,0.5134014375750413,0.517682385388397,0.4799569898683348,0.5177966633251421,0.5071776791517306,0.5104176987608341,0.5166736442270264,0.5299706929355028,0.47289159899631433,0.4521417990379577,0.5187304767915726,0.49175453087935606,0.5260903814495488,0.4962877325293119,0.47640194118437373,0.4766885997450438,0.5262720784952335,0.4647039569600723,0.5053136595754054,0.4612120789575942,0.5033411039621012,0.4838189957790519,0.509679579515968,0.4450600433006886,0.43701518393941935,0.48356457811086945,0.4836504141666471,0.44359052216960515,0.4499403337614193,0.4841101645834355,0.5244375223734625,0.49284535654720185,0.48531623341095437,0.5044605213417318,0.4571024943876831,0.4485453546567185,0.4247280570435271,0.4605029850627517,0.4930153564236506,0.47692314456555784,0.43570038172642245,0.46687468577629,0.5142953981711402,0.46317020405307624,0.4584838782857457,0.4977295139630103,0.4853989747670452,0.4467888168855494,0.4581474702066852,0.46311451017713856,0.47725820181517914,0.4759524340678999,0.4757939979023578,0.5053254560446738,0.4802680649359974,0.48555384044137817,0.5019746332219844,0.4784698484562778,0.49684461969800137,0.49892798340779787,0.4800631969670267,0.42306138769040696,0.472211653679564,0.45694190530281403,0.4187401724428085,0.46767243180798285
ΣgØ,0.584033280784851,1.0,0.4811539327078458,0.5529728639911451,0.5958500093365136,0.6418164549874563,0.5419057423321143,0.5848832058396255,0.5745075385891607,0.3934339895379704,0.5673951748986263,0.5625359914319531,0.5887523874624337,0.5236430682965422,0.40976605515826114,0.5519550286152654,0.48133892961608254,0.34651515256774207,0.4553593418347127,0.4235154372058142,0.520577420385163,0.5546236144274196,0.5452706067678333,0.507353948035848,0.4929109589241439,0.2735189241975306,0.4720027030301576,0.5052924431269152,0.578387310123658,0.4887654950047201,0.4341077316342659,0.5130038043536752,0.5070469043922888,0.5171209840643886,0.47730660199954816,0.5479883186758889,0.5107951166062555,0.595219968623843,0.5194398894998473,0.5764753822520361,0.5164195259095172,0.5875179024663657,0.5140303474797604,0.580475293200953,0.4781694448993125,0.46183782475145785,0.5727243715255528,0.5520151632219653,0.5745948508152041,0.5805676648381173,0.49444570781649644,0.5340328309233882,0.5734324722313703,0.5359964578420767,0.5779480588361434,0.5514527173217173,0.5695496419883582,0.5561371894085204,0.5236942871789537,0.4765878844055163,0.49450049445838395,0.48445623082965394,0.5567281356953423,0.5066686405194889,0.5148750713907847,0.5471731188575316,0.56711348182474,0.539779580882847,0.5465507873606268,0.5385090377649909,0.5348044769169301,0.5033834639436445,0.44730421517954394,0.5254170441995187,0.5358329152512443,0.4912092040819378,0.4390018837479795,0.4933487209083988,0.5169164915202504,0.4825375868441487,0.5107917644371656,0.5730167366799932,0.5168045380630204,0.5012071610898403,0.48932284626181155,0.5146397237694723,0.5472715404729377,0.5187160717155258,0.5086309704355497,0.5589123288754864,0.5572189000163374,0.5393351942617992,0.5489579862477594,0.5247233094357685,0.5500450460700526,0.5361531332494281,0.5289995502633532,0.4623678654974139,0.538117763904311,0.5295613972956847,0.47776026408364736,0.5182632635001492
"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",0.4980774030301494,0.4811539327078458,1.0,0.43140464087141656,0.44615338359602713,0.45430970815419314,0.5194385901451251,0.45865125486589264,0.43980486882694453,0.34755467463429696,0.4325890195365551,0.3945189557478582,0.4341657040820873,0.41000735573622893,0.37988736101523096,0.4485574317356769,0.37102002424620273,0.30090142044834256,0.3676785977745288,0.3903626644223999,0.42893775661800304,0.4381157129219444,0.37365445060898395,0.36809708913359496,0.37027081712476717,0.30770151036557136,0.5012877009705902,0.43283093397816375,0.4234329156060466,0.40916799496117706,0.39242913323542716,0.3913443843180768,0.38980272329512916,0.3808463884546498,0.39471108936798976,0.4176376136081973,0.4054738937082858,0.4262901489216874,0.3925893634736069,0.4292420687350627,0.4019068948739349,0.38448259192483797,0.42133236240041927,0.4732454839301009,0.3720478344730817,0.3664732596539695,0.444054514859815,0.39359861007162206,0.45560613832619584,0.4072486387893731,0.4014605821942322,0.3775070307859109,0.44926612168304264,0.3743889672175056,0.41590001029312673,0.39307556927959975,0.41065794180093956,0.382722958976792,0.38668441069484033,0.3589587961941411,0.3471340833762392,0.4192672822432586,0.3792954493374309,0.3569404900041054,0.3510290032831657,0.41348288959149115,0.4209694896136527,0.4295354229165306,0.3859954987066763,0.4138109476322031,0.4078021498797384,0.3813993142183434,0.34029412027578093,0.4098624527595781,0.43135858120048903,0.40608494688386476,0.34894010297579614,0.3901759095780609,0.48196865378551096,0.46385438913536153,0.37244547999472083,0.43794580764447244,0.4172591652883066,0.4208229925629339,0.3706335291293745,0.3497350523753223,0.3713156261772967,0.43025681564354806,0.39378436789579685,0.40038867226898295,0.4113574496051144,0.40648477992684456,0.40523753577281657,0.3978080075855139,0.4222967548794533,0.4396250901153006,0.4329250896054276,0.36179766945120495,0.40106771108801875,0.40096500402912744,0.3967737539074551,0.4347976873437312
MAYHEM,0.536392754171059,0.5529728639911451,0.43140464087141656,1.0,0.5790103624964927,0.5283686676998173,0.4970236692767736,0.5208611499424914,0.5090064224867846,0.4016523422800983,0.52595386825063,0.5018193457751723,0.5421853795498155,0.48705384338265745,0.44848115258702753,0.525564557377563,0.4680764119328623,0.39099473196609486,0.48028318048409857,0.4259187086482257,0.5106259637312127,0.5293624418901967,0.5072345736034087,0.4783925981194006,0.5008939527996444,0.33939187876138877,0.4242886880839089,0.47584078413580405,0.4802920907759631,0.5022469551931502,0.44973241402080877,0.5105512796426595,0.5230343745591026,0.47931240740738074,0.4797090549111186,0.500433677322461,0.4846567923401351,0.5036465873431041,0.49095754340299885,0.49541631062520225,0.5136149307363445,0.5161447987208243,0.48789651072941914,0.51506498549607,0.4860528689198515,0.44096570685744885,0.5039973242254938,0.487321773359848,0.4924239003110092,0.4773803307396111,0.4904523366817916,0.4833318163949455,0.5218390830417414,0.4783359078040196,0.485111419440416,0.47980833972674464,0.4793067897052982,0.5054468278297228,0.4922525464931487,0.4483266225022459,0.47527986814015427,0.46264262214960167,0.5391862790349414,0.46725155293832626,0.4994978125850458,0.5118583119281394,0.496171549004008,0.47536893022011756,0.47342547856677064,0.5193733862944827,0.45472190423678904,0.47152701838290756,0.46813361979135043,0.48893175617478923,0.48144395066484186,0.47748016808301225,0.4570276488745061,0.4805896821970385,0.4718147714566426,0.45529919108212896,0.4550498703092446,0.48302586821053584,0.4869414850848662,0.4552313742569992,0.45426992334732974,0.511105546077525,0.5199381390762378,0.4630177629503651,0.45688951316145676,0.5094378752265274,0.4876606266846532,0.47257501657448964,0.5149125072168027,0.4685086360955428,0.49065204784538224,0.48639693064995143,0.464586712227819,0.4665167942149054,0.5079200771746306,0.4902435293775951,0.42095150117491414,0.4346424882243791
VVelcome!!,0.5800173214225148,0.5958500093365136,0.44615338359602713,0.5790103624964927,1.0,0.5709568559723761,0.5107733253754918,0.581646345467241,0.5545382191390521,0.38806563238173725,0.5758452385568494,0.5739848132302865,0.5377425574057407,0.511106450635253,0.3840957989953094,0.5566035925917402,0.49040308019289613,0.35151808814033036,0.48604577572699204,0.4045225170044341,0.5663890646662063,0.5950054126740443,0.5549256338565344,0.47470275272156265,0.5065652234385282,0.2897306949125731,0.42360768488050077,0.46707736180599513,0.5535122665967918,0.4717168223648058,0.42019852441940425,0.5194184615675448,0.5557248436509458,0.49376584700352005,0.5188081472075812,0.5498332748810179,0.4849446529135412,0.5786891957491838,0.49919696748776726,0.5049191355313082,0.5616675582203352,0.5891375346724339,0.5281618933240109,0.5795198360609602,0.5005875755234402,0.44319856406729885,0.5453670097593839,0.5660215121048725,0.5252389958198115,0.5409894772692393,0.44057890257391713,0.5322924238208988,0.5656679329861674,0.4947229624623784,0.5162526719345509,0.5234446589516883,0.5699648009592404,0.5538261566301698,0.5310976187196619,0.4496361967885488,0.4924439277331857,0.43562238943918696,0.5396664111655453,0.5108780251453715,0.5198701886624169,0.5020482644879858,0.56118768334353,0.5080626118105707,0.5056559685558022,0.5602365126913239,0.4734090092677026,0.4622651481895644,0.4141107577279618,0.4881669801536084,0.49274208251847335,0.4808953387557911,0.4308441234313543,0.47451226971707655,0.49661568492898095,0.44446375467984933,0.4962845244488275,0.516888158021178,0.5202997199338324,0.4421596393546356,0.4668059115451726,0.5534424357012249,0.5267264222555309,0.4677060545135855,0.4760917296992754,0.5331003662441894,0.47907143778069955,0.5129054183334538,0.5286409613441572,0.507387302326023,0.5000636955249883,0.4918253162730933,0.4791603946421681,0.4305755706688393,0.5235561158658183,0.47849642500784423,0.44490885774139927,0.4632075567383849
ΣmbryØ,0.5556459138299047,0.6418164549874563,0.45430970815419314,0.5283686676998173,0.5709568559723761,1.0,0.5341445300057368,0.5910672138777299,0.5839408158598152,0.37221255625564237,0.5730346598224829,0.5660042272705895,0.5979117561575429,0.5315785454298688,0.3803469746786563,0.5168156658902306,0.45415530708680146,0.32551338734865715,0.44248058863282713,0.4037980608357792,0.5078695958224718,0.5410445417736572,0.5015581701490424,0.472190330370335,0.46224215982507366,0.26353136165309266,0.4482488217659978,0.4582731096197199,0.5276085613665751,0.4503883988653087,0.39985943563505405,0.4785244213215586,0.47489065655259877,0.4635610419691738,0.4456704898397894,0.5044716641547291,0.4733463525952252,0.556856682277172,0.47393731587329313,0.5179833811900281,0.5010297886811187,0.5315704892070472,0.4658537980827054,0.5551650932552031,0.4445486388056824,0.42991891243896324,0.5422634713609901,0.5253811057708444,0.5595896978667508,0.5644572724336178,0.48310908613290804,0.5246831280341475,0.5756724799412318,0.5284266188951069,0.5351418298406808,0.5412002268988592,0.5531398173661493,0.5504420875042028,0.4985955877296193,0.452395687875311,0.4787865266248824,0.47854334788488145,0.5240868897936759,0.5192022236508091,0.514676424053384,0.5273171724392549,0.5583436520857429,0.5262802742991682,0.5162478406314385,0.5104975188343427,0.5193918900912645,0.4857889860472441,0.4218916432646633,0.5185208359885173,0.5414236190750754,0.4796324770511262,0.4461644416364423,0.49507185852456237,0.5087661492315936,0.46521732351666306,0.5144508993243498,0.5494774294969597,0.5040262637355596,0.513246333757509,0.4547693234440165,0.4808243116579434,0.4974308658384785,0.4738478630014576,0.5017517353443489,0.553414075619885,0.5251926995256823,0.5340384813814524,0.5353555459124607,0.5039698507244654,0.5430036934062,0.5338365183164276,0.5160141360897252,0.4561332373394097,0.5425971881164898,0.5165629274269468,0.47816616361073533,0.48719974807908856
*Feels Seasickness...*,0.5314157757622526,0.5419057423321143,0.5194385901451251,0.4970236692767736,0.5107733253754918,0.5341445300057368,1.0,0.5151878501144314,0.5215867304209084,0.36541333341115717,0.4827290097461801,0.46749731778877945,0.5196625859339074,0.45645514964222855,0.3819518108341226,0.5214786338833237,0.41522953202592,0.3571002915872746,0.40570914282723936,0.4088663891004881,0.45913580814059096,0.4619608859967137,0.42786524313271984,0.4369163998026103,0.4133319248502019,0.3423566267334682,0.47379641417851703,0.4937850435091388,0.4828668463803802,0.40683178654599306,0.44625890507898586,0.443197928081139,0.4321837307799693,0.42532098594975853,0.4251914633423015,0.43387055973565386,0.4519437345695766,0.48492069977618063,0.41301860841246113,0.4670171693298554,0.4422774659566183,0.4295627380145755,0.46958364875766445,0.5003316503413571,0.4285699022799484,0.3836169253197137,0.5014557800768789,0.4595088550817695,0.503840633559713,0.4727985016956167,0.4587510091430649,0.43992229301372066,0.5049432422015797,0.4180782848061455,0.487968799108453,0.4353390280966477,0.4890520500993698,0.4534144553879676,0.4431824826072257,0.44220790502547025,0.3899252971638172,0.46231227078788806,0.44169387396994436,0.4304147739496955,0.41788148311269885,0.4740880770983398,0.49862151515744524,0.5033544103824859,0.45363962768629806,0.4593145301128098,0.46193069157505,0.439484517501534,0.40205373645964865,0.4356200377732916,0.47026013251007265,0.41469286063027144,0.41594775707842035,0.45255328688903423,0.5346514386254652,0.4891037776038527,0.4385314916107307,0.4830935094548411,0.45106923752534184,0.4735004689277365,0.4530685514534168,0.41084394249540984,0.4388699636986745,0.48099952799804574,0.47776396215291467,0.48265348512549855,0.4528564341120116,0.47038104146586507,0.46163066635065436,0.4399701884438885,0.46947714119795414,0.45484292731551557,0.4808774118178276,0.4263937251346966,0.45621398743232655,0.4529548157771876,0.3817014455839761,0.45153949457523357
FIN4LE ～終止線の彼方へ～,0.5424353785145741,0.5848832058396255,0.45865125486589264,0.5208611499424914,0.581646345467241,0.5910672138777299,0.5151878501144314,1.0,0.5958511872695278,0.36371538205672366,0.589879817947842,0.5992251612557363,0.5589378559273921,0.5509758607496963,0.37093888266687847,0.5133595467846603,0.47875102461360836,0.3201974803406192,0.4406305443011356,0.4055724365547632,0.5180380582659772,0.5624268132119804,0.5000597249690649,0.4312287146534722,0.48777908562485023,0.29145970240988034,0.4291958401129826,0.4280981585582632,0.5473547551434881,0.44901359630384635,0.38093648071512304,0.49249058916991056,0.4988728894431194,0.4848496578192322,0.4736876461892014,0.5111251503370969,0.480983974808819,0.567147872248877,0.467898715415309,0.4945293230925698,0.5138024746415167,0.5222090673010146,0.5012638854062852,0.5517511446413355,0.48467890597702107,0.4530510276919076,0.5452714412139236,0.5511895120289854,0.5477457403364805,0.5400532756159525,0.42561306710677654,0.5340097220896738,0.580154597055446,0.4734157962631997,0.5133231774972571,0.523125166589677,0.5566378624306295,0.5357585174360963,0.5335544309944865,0.4292982920232022,0.48938397100455894,0.4795081428714672,0.5105750281253525,0.531315560155937,0.5079296879545657,0.5190444753324597,0.5493271713316349,0.529280950293866,0.49060175794550837,0.5131969811531977,0.48478850707286414,0.45281013210415605,0.3935250566648717,0.5012078221856936,0.513059053563599,0.4861941835341132,0.4158165303152877,0.48689366494755565,0.5401452091195149,0.46586447754825183,0.4987998540951435,0.5456332643490928,0.5306114401571778,0.4659433187506942,0.440516729885627,0.4899510937518354,0.48379600941844914,0.4408582805547364,0.46416196374476276,0.5198876891025103,0.478252107271387,0.5541712623652625,0.5429562140894262,0.5202032424475381,0.513206216232665,0.5145988943030165,0.48172926306919744,0.42423269602328034,0.5182003231049347,0.4915062879797966,0.447673065072358,0.4842876494118329
HE4VEN ～天国へようこそ～,0.503850263794127,0.5745075385891607,0.43980486882694453,0.5090064224867846,0.5545382191390521,0.5839408158598152,0.5215867304209084,0.5958511872695278,1.0,0.34203368102543,0.6195941791181035,0.6026032595539295,0.5509750446299178,0.5600750421640956,0.3137468397860156,0.53391957111738,0.43372428286665154,0.28930355576858885,0.39755444243878196,0.38245291073227916,0.4862896745006126,0.5563370523272141,0.47310569649489226,0.43198113024152,0.44185812721443724,0.24782100746770522,0.44615207799476625,0.40303386012567016,0.5068592344052526,0.443150666245466,0.3829332039473595,0.45508726414124856,0.47342149470669326,0.4338591033257693,0.4378823897034217,0.4682923650273738,0.4385089893624895,0.5344198237550059,0.44536446378889594,0.4759377666140143,0.4912204499244038,0.5062785613387699,0.46000505029357147,0.5445699947628972,0.42877628396541523,0.39612317400096836,0.5314360248643285,0.5059351149238291,0.5388733227473536,0.5567840220377301,0.404365485081415,0.5088714522746772,0.5846567462978285,0.4706164652368544,0.4799218080960104,0.5412399642909497,0.5408355201981428,0.5423694402867201,0.47189028773943487,0.4096049668631107,0.46620703680127074,0.41750913748263085,0.5063314096110897,0.529897064944732,0.5232560020965717,0.5226818299913434,0.5340306205869622,0.5345867639136856,0.4814950234809771,0.48899513568495384,0.5066283581564935,0.45749626909233715,0.3816434132313338,0.5324852766571392,0.5358104320886649,0.48344599478700484,0.42790825065229304,0.505006850504517,0.5206024071154056,0.45643835809561223,0.5476318526061129,0.5608957301897833,0.5311717616856141,0.5206891957207384,0.4248695405472791,0.4710923844292548,0.4680041727672279,0.43113966622840033,0.4748909963526043,0.5107546632225964,0.4793012185497909,0.5112106626352357,0.519736007288184,0.4893994935541696,0.5343485274089731,0.5272573606755634,0.5266621018564228,0.4380145988561389,0.579447883329599,0.528845862071234,0.4660572177347656,0.4939217569988264
I,0.38523288492365304,0.3934339895379704,0.34755467463429696,0.4016523422800983,0.38806563238173725,0.37221255625564237,0.36541333341115717,0.36371538205672366,0.34203368102543,1.0,0.3092437326724132,0.32394621168221116,0.3630323653536617,0.32820034143955806,0.43421946610733136,0.5173524069354178,0.49049119038953687,0.4279745574223015,0.4252415110322547,0.9993295472777604,0.45462447729366495,0.4913326238637617,0.4054541235693186,0.4066518108726335,0.43035829984194807,0.33199377286766124,0.35092638802065357,0.4146371401998801,0.39804366890944026,0.5125046678915358,0.40968380845165153,0.4301202099018658,0.435690212913385,0.41782321845027603,0.47942423626161673,0.4053490984111748,0.36424481806735864,0.3846519039115158,0.3878992768505538,0.4180879719944937,0.41279190601504745,0.3834044277069919,0.4378690130448575,0.4151840039949043,0.4513148630075675,0.30713485587892697,0.3973279131241319,0.3812791521086904,0.39893213813712225,0.365775304961564,0.35149334923964665,0.35722061734158034,0.344187861081045,0.3708820134302111,0.41162566632209796,0.35442991897644704,0.3672107678781859,0.35172245491043275,0.3676132549857103,0.3775676530202138,0.3470789090630096,0.3804813979092281,0.36086857027139113,0.3263284784882521,0.3448141795132317,0.35307515935445605,0.357432648210851,0.3637645323115572,0.33502230432009455,0.44701462100417594,0.37187761936883534,0.37164724474780514,0.3670915320867271,0.3193626055020062,0.35236992852506577,0.29709355683903377,0.3188091119938822,0.3372770693276832,0.37210006737526125,0.3385063825828329,0.3322997837669264,0.3629072549466367,0.33772699214531005,0.3144937768383307,0.4023245539185095,0.41923451528920114,0.40973253139439414,0.3808532623240596,0.38406586899246636,0.39884405114812,0.3912508548213635,0.37136776418803,0.38326836481349,0.3912904403062798,0.34915179069475094,0.3414136134582374,0.3639989201239058,0.33208397879112617,0.3237135104605786,0.33235002750173864,0.2903791780329772,0.31185445889929686
