,666,ΣgØ,"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",MAYHEM,VVelcome!!,ΣmbryØ,*Feels Seasickness...*,FIN4LE ～終止線の彼方へ～,HE4VEN ～天国へようこそ～,I,iLLness LiLin,WHITEOUT,Xronièr,Lachryma《Re:Queen’M》,777,αzalea,Bad Elixir,Chronomia,onslaught -Retaliation of Bahamūt-,VALKYRIE ASSAULT,ディスコルディア,ドゥサンコオデッセイ!!,9TH5IN,ANGER of the GOD,Calamity Tempest,Daisycutter,ENDYMION,Ghost Family Living In Graveyard,Lancelot ～Flame of the Rebellion～,Lisa-RICCIA,LubedeR,ΛΛemoria,†:OLPHEUX:†,OUTERHEΛVEN,Redshift 2nd Ignition,ЯeviveR,TENKAICHI ULTIMATE BOSSRUSH MEDLEY,THE凸GENERATOR,Trill auf G,voltississimo,Xroniàl Xéro,θコトノハθカプセルθ,色を喪った街,卑弥呼,飄える翼追い掛けて,A Lasting Promise,Absolute Domination,Awakening,BELOBOG,Chrono Diver -PENDULUMs-,Cross Fire,Deadly force,Dyscontrolled Galaxy,Elemental Creation,Failnaught,Fin.ArcDeaR,Fly Like You,FREEDOM DiVE,GERBERA-For Finalists-,GODHEART,Immortal saga,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,Last Resort,Sailing Force,Staring at star,TWO-TORIAL,Xéroa,セイレーン ～悲壮の竪琴～,逆月,INF-B《L-aste-R》,FLOWER,Got more raves？,きたさいたま2000,極圏,ΑΩ,Blastix Riotz,DIABLOSIS::Nāga,Everlasting Message,FLügeL《Λrp:ΣggyØ》,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,Lord=Crossight,Preserved Valkyria,XyHATTE,月光乱舞,Innocent Tempest,IX,ラクガキスト,音楽 -resolve-,Booths of Fighters,For UltraPlayers,INSECTICIDE,Quietus Ray,Verse IV,バンブーソード・ガール,Bangin' Burst,Black Emperor,BLACK or WHITE?,Growth Memories,snow storm -euphoria-,XROSS INFECTION,大宇宙ステージ,Ganymede kamome mix
666,1.0,0.7159627187858966,0.658100595992517,0.6263952756256994,0.7554644546282605,0.7053911931064644,0.6719045138767115,0.6962271550284211,0.6284999698478363,0.44267715374919103,0.6547935180818653,0.6216971484325711,0.6626297708488073,0.610511369943167,0.5218703493118055,0.6133623898061781,0.5381749186750102,0.39506835295662346,0.5839908073770871,0.4589359869081588,0.6160766092589394,0.6366465213671212,0.594182447022732,0.49938729336972454,0.5911821263129488,0.4125429523214804,0.536062277149779,0.6048520697580536,0.6313324782925244,0.4853962796193566,0.49160557997447735,0.5782043916762835,0.5909654650079017,0.578466031314481,0.5761443006248379,0.6873061525323396,0.5975827494201666,0.6287679173129721,0.530508448322954,0.555613909382942,0.6357520802195545,0.6143446354802695,0.6584629273150931,0.6414423419127095,0.6029053796458745,0.5779378899861413,0.6151926098581043,0.5900110051362217,0.593795056310385,0.5828271398127974,0.533284992081736,0.572947768253174,0.6598386082215231,0.5246620325531163,0.5716547972462324,0.5179116702920817,0.6333007616000463,0.551838621879191,0.583313655136197,0.444851695345731,0.44805480824111665,0.5916640925381407,0.571503771848864,0.5220639744594558,0.5148400221358772,0.5750901315147422,0.6592201885627742,0.5721257588814349,0.5636742047911353,0.6221667754245518,0.4476821500864867,0.43245775908755646,0.43924509304911674,0.5304643970555677,0.6111139194242905,0.5902804609687531,0.49696533931525627,0.5457115362964232,0.6066703782570317,0.5675519285237683,0.5404233240720742,0.5417535073078487,0.5963177744243472,0.5319009294831977,0.47481847352384243,0.5148032908168807,0.5300817745638381,0.45428543032368995,0.5018577613918097,0.5986932891352239,0.5299657824797405,0.5665120472814057,0.5686221876605719,0.5238236748002693,0.5816405269179388,0.5921725996679424,0.5578397840462046,0.4320094226844602,0.5497937655294867,0.5238733331091445,0.4741394879197238,0.5596129425140107
ΣgØ,0.7159627187858966,1.0,0.6219605961355882,0.6324650728271161,0.7587180218167031,0.7666236923773487,0.6472110977338528,0.7173558279083957,0.694967680267065,0.47275883790501366,0.703977470865699,0.7053829422015091,0.7083220543924494,0.6367469184166417,0.4836519322110638,0.6676585986279001,0.5865723284210742,0.39452664556619066,0.5665377284474882,0.5196220608722127,0.6298987131286281,0.6634234658293126,0.6223600405126356,0.525030967800291,0.6037022203768052,0.3178567382986094,0.5664247991049034,0.5864807162475314,0.687705914318143,0.5208092829577995,0.5153122356501506,0.6095222752775729,0.6163760737792204,0.6084730097176243,0.5964084486912234,0.6505181773086781,0.623776536281674,0.7169779753179024,0.545431065276848,0.6138269989338165,0.644061437708998,0.6958402362401539,0.6260920512743904,0.6850328812892149,0.6068296462211196,0.5962103136539434,0.6779018948563645,0.6586745280766182,0.6664857996071668,0.6859269134734346,0.5341987844290064,0.644039710173511,0.7148749828153136,0.6128725623327688,0.6740606828385425,0.628300045092282,0.6964916137467476,0.6281162843028416,0.6191534254927291,0.4988367216365531,0.5435517756018636,0.5989433060068982,0.6562517733831281,0.6158580914666635,0.599300186560349,0.6494543816576749,0.7033584999151595,0.6247757519246353,0.6516548929249106,0.6574271147612585,0.558810290661402,0.518578961344937,0.4680516545898097,0.595449896585515,0.6655142860307295,0.6101830404003499,0.4667811033598242,0.5734209382361363,0.592324599969433,0.5909080442155158,0.5972421319629123,0.6493842704728661,0.6366353172031189,0.5675424883384952,0.49493867947251025,0.5700147825766491,0.6404675496030041,0.5094459682149882,0.5443181069258407,0.652031998058263,0.6596006338618379,0.6332582672447896,0.6129345585570025,0.5853880349673777,0.6332845302313067,0.642376228186414,0.608855533157119,0.4937752620515761,0.6239847119512136,0.6120746281836582,0.5495943420140665,0.6150697543529592
"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",0.658100595992517,0.6219605961355882,1.0,0.5257755567204255,0.6219199254916578,0.6214874312199284,0.6845530689159995,0.630775348674146,0.5952084699743574,0.41462012541084753,0.5940136677241095,0.5510875434841978,0.5986147819815902,0.5757128704567452,0.45019440378634323,0.5568128285646606,0.4647879193510652,0.3528042565279133,0.5008113210346974,0.46955765456747106,0.5534514032955661,0.5417092996354173,0.44042935399749683,0.4192129611105963,0.4847702667406506,0.3822634567906295,0.6150967569140058,0.5419899692684662,0.5437347139141074,0.4418276662606669,0.4711688897197391,0.506101690895669,0.4752245925688849,0.45112312517310765,0.5073428659674111,0.5321062396079836,0.5022137861298483,0.5393894727991484,0.4314013053552383,0.48122726222919543,0.5202687433986216,0.48003761143323176,0.547157111140493,0.5957791363447336,0.47782932448912097,0.47899927634869954,0.5549765318895882,0.48795545351962766,0.552652812925638,0.49966862265797346,0.47411342038707477,0.4583732665067841,0.6097998723607795,0.43308739438780686,0.49061375010336183,0.4780976753293464,0.5398322821751588,0.4740133878044697,0.4581812509589753,0.3477737994389271,0.3829952264813877,0.5175453005815757,0.4682534573732151,0.45762110464667793,0.4029825556555403,0.5130782844002987,0.547828886682371,0.5235133049264921,0.4836508436203732,0.536625676734745,0.41634148497519713,0.3923833459428362,0.34249801359594806,0.4984352439305871,0.5883589762270501,0.547353566115083,0.4237172901582983,0.501285514795525,0.617800689611659,0.5908718155769086,0.45423071638605306,0.5348013620595599,0.5605092979715272,0.5527118938982919,0.3703960713444258,0.40047365254050105,0.4366542029542707,0.43970088692280507,0.4313551642480323,0.4969897271808007,0.49640926810172104,0.505202442515951,0.49230107521580524,0.469171592541198,0.5356068393449177,0.5690761473917217,0.5153540012214272,0.4207212052458761,0.5052468806384848,0.4922617126506161,0.4848536295165981,0.5620057323156993
MAYHEM,0.6263952756256994,0.6324650728271161,0.5257755567204255,1.0,0.7069059486378422,0.5915745543615628,0.548943864131801,0.6080041169550753,0.5735980552490154,0.42663582306415465,0.6071670846402002,0.5873358666714441,0.623364768455909,0.5595295037062542,0.5303969034686841,0.6515335523594034,0.5566703265480577,0.45021667027495194,0.6010843925312637,0.4880663807960293,0.6424171788223282,0.6186041320320251,0.5733378800592595,0.49347862657978064,0.6314491765117006,0.43111436899422223,0.4790944548229927,0.5076292664129556,0.538334801450542,0.5102580304502234,0.5035600472938726,0.6181073926942677,0.5905615912786077,0.5092318329208451,0.568147919658152,0.569479808414143,0.5292256994099349,0.5673857042720463,0.497255943239886,0.46982678508573944,0.6216101832265591,0.5782184128182485,0.5387710489074875,0.5874947613936191,0.602552392702102,0.491946414783164,0.5419500033191772,0.5301009474820271,0.5183481761000268,0.5303520858889967,0.512038958657743,0.49921000207234295,0.5988713277664073,0.5206190413264656,0.5033326149867013,0.49787688491118426,0.5323356687885281,0.5383607426139212,0.5276961309571719,0.3886239159271394,0.5060593816963961,0.5115074213252825,0.5775808408594317,0.5129220331127167,0.539375850394677,0.5248681343133171,0.5522613882684244,0.521824130390587,0.5161615073648713,0.6086704358104269,0.40335966893339686,0.44562280771424606,0.4215861118796142,0.5320949849410357,0.5730205604808615,0.5467929803952336,0.475368412151082,0.5220875372106085,0.4997785135836278,0.4977430342029205,0.4976309614708981,0.48567889512282303,0.5461342826128172,0.4932116675580993,0.4138689991592546,0.5611372796270726,0.5742817723441053,0.39000156388891066,0.43968694387543633,0.5928755755074782,0.4943735352797199,0.5034592318039222,0.5438229326523654,0.48241346398848156,0.5197494035443326,0.5354997724293125,0.48587963247755356,0.4319970524840816,0.5533971199559762,0.5234297116130902,0.4388218152539892,0.4501689112263812
VVelcome!!,0.7554644546282605,0.7587180218167031,0.6219199254916578,0.7069059486378422,1.0,0.742659570138644,0.643010578705399,0.755337762361666,0.723132735932569,0.4762276483617971,0.748428974115214,0.7436007322574767,0.6981353923799708,0.6865948087278646,0.4712737459837835,0.6721084539907423,0.6073209424220251,0.4098646761158961,0.6465316238350604,0.49176196025680236,0.7078242202756319,0.7140040304688925,0.6637617689141918,0.5708609276010703,0.6498639363981434,0.37757352583218573,0.5342802174691396,0.5787493248897188,0.6739179689234946,0.49867739229639124,0.5226967460389748,0.6568043572007076,0.6855580537958433,0.5855057464107417,0.667280683107041,0.6828296508074589,0.6162779978164954,0.7198188840340141,0.5625938906816287,0.5593040142706182,0.7178110849057443,0.7269223990263467,0.6582539239585665,0.715875920942848,0.6461536552629026,0.5754293384993305,0.6654522488670903,0.6933452119039579,0.6242560929251834,0.6659329658213177,0.5297780120966936,0.6357897756656691,0.7340523663363142,0.59278652149091,0.6064999943459622,0.6261923381920922,0.7023940430378153,0.6644331972888167,0.6380253242468089,0.48449847151633535,0.5720341892597344,0.5477610005070642,0.6371823685138855,0.6370975765403933,0.6242352922503487,0.6128808171057276,0.7145960777785073,0.6061184645545137,0.6400522604866218,0.706567128239493,0.4899431456932058,0.500980026332465,0.44274475900496507,0.5960541836703319,0.6566803983104038,0.6373078355089197,0.5204358886053339,0.588909106653098,0.6129199513162762,0.563586368107,0.6070633955861882,0.6179853897458955,0.6814251511082692,0.5625433267703491,0.4877071026734324,0.6376908003495907,0.6326425928592495,0.4622729807838778,0.5375672677318947,0.6451712054925202,0.5749410360032348,0.6148746545928231,0.6301846827792884,0.5781297093466435,0.6237284451740889,0.6301881609601655,0.6116429253226744,0.48144737133919985,0.6457869032699892,0.5837989662207287,0.5462164706787086,0.601221091238468
ΣmbryØ,0.7053911931064644,0.7666236923773487,0.6214874312199284,0.5915745543615628,0.742659570138644,1.0,0.6707481690649851,0.7622011049023543,0.7477557498810191,0.4491605138349896,0.7334447230899398,0.7409152135870702,0.7485104968555264,0.6926659041878509,0.4411321978113572,0.6382044446518778,0.5628572190718588,0.3692890146292202,0.5679940585667524,0.4973187500015763,0.6439204598047429,0.669123846036552,0.563291083920326,0.46271456692192703,0.5888614133130302,0.31941523708962255,0.5536076272498506,0.5512459977325426,0.6469189039576523,0.45811135906681416,0.4735193909662982,0.5938898506083392,0.5802654690857008,0.5474607826116105,0.5708921383069298,0.6361764460031265,0.5823089698589091,0.7022908412574926,0.5167488688855378,0.5123112258171894,0.6412803299616351,0.6322366544197421,0.586897481458324,0.6846177253365204,0.5754446667021972,0.5644778217205623,0.652474905330843,0.641669817771365,0.6704156750488741,0.6888507123660058,0.5369130795648749,0.6407509965666288,0.740510669545585,0.5953645600817331,0.6349834984286263,0.6462000985510169,0.6869851042618507,0.6484595641530143,0.6032666193513447,0.4736636612130189,0.5220591734845926,0.5963518888473214,0.6053690713832671,0.6329318102753754,0.6026178794814983,0.6420241549034793,0.7141041323930619,0.6082601308629315,0.5600571384095617,0.6611786922258285,0.5523878751541661,0.5154499763320378,0.451825465806914,0.6155005399157929,0.6920684952490019,0.6146061046509855,0.508848925149528,0.6027684512520689,0.611774108997567,0.5915474480851722,0.6235222433521299,0.6172579018008862,0.6470563688785291,0.6144200514675984,0.43834393893362683,0.5528621146973528,0.5741036456364086,0.44991547551445354,0.5404055515815775,0.6602413470857272,0.6210486809047219,0.6408918309151365,0.6511927929531927,0.5773312219211166,0.6629032950019552,0.6527100661943823,0.6064695972948143,0.4842148861279094,0.6481107297236116,0.6071121336512504,0.5673020852576304,0.6220987636984625
*Feels Seasickness...*,0.6719045138767115,0.6472110977338528,0.6845530689159995,0.548943864131801,0.643010578705399,0.6707481690649851,1.0,0.6456430705525563,0.6381246028864952,0.431788002638053,0.5903455535045496,0.5840694152211228,0.6458671273522012,0.5644759425810704,0.45017377341352316,0.6182210698384561,0.48168721164677736,0.4012995603168172,0.5043897453756961,0.4951270475493857,0.5647671525592988,0.5407663901715817,0.4630750377357295,0.43382232157215517,0.5116692648573637,0.430641647190102,0.5807691284788264,0.5817081953970352,0.5830098014209868,0.366546818890173,0.5474769172934919,0.5337127258848376,0.5154946603617417,0.48034660790764905,0.5232424871560165,0.5128144983522609,0.5314883335672774,0.5900593116686539,0.43229135967744703,0.5055995059089918,0.5337578303222905,0.4757115650989916,0.5700852027381008,0.5893192120407131,0.5308979445309782,0.4785260220984563,0.5901860794754472,0.5405042198384566,0.5747819494183265,0.5435392368925648,0.5086852400965562,0.5131462815524761,0.6200872260883934,0.4717875316135425,0.5602013828551382,0.481395583966456,0.6064596722582757,0.49615584571038207,0.5002442201708297,0.4372723546161234,0.36683849338360525,0.5755016389489704,0.49392539015560927,0.4818395363724532,0.44478835161218466,0.5491773064880253,0.6118921942444675,0.5725605893487893,0.49403523746173067,0.5629435576815282,0.46513844751894123,0.4588245417185042,0.4133923354686109,0.4933369501000225,0.583925862171923,0.5066122115195092,0.4609009091186349,0.535665254069637,0.6338890548422264,0.6092476231990175,0.49682233985138596,0.5326655251058544,0.5316656723298033,0.5593813021718766,0.45902194237179633,0.4230692868629907,0.48103932972467095,0.4746729146203721,0.5155322173577656,0.5632864945924361,0.5001772274663105,0.5461391306287774,0.5196462601522058,0.48645134286067304,0.5661597784303565,0.5545050535260471,0.5370504311563866,0.46235537033595364,0.5224460016916451,0.5166617832235298,0.41006162943474744,0.5354939504086137
FIN4LE ～終止線の彼方へ～,0.6962271550284211,0.7173558279083957,0.630775348674146,0.6080041169550753,0.755337762361666,0.7622011049023543,0.6456430705525563,1.0,0.7674899798580594,0.43906822734455786,0.7706577470184587,0.78887547434766,0.7213589231847273,0.7399108028145117,0.44925272244579345,0.6377128479133002,0.5898194150804936,0.3599040095648813,0.5694239604876121,0.5023014011173893,0.65040001785479,0.6847011218423594,0.5658877887450762,0.4131266801983033,0.6188139226427075,0.37035342881852934,0.5464166566320678,0.5025896342660674,0.685846879349191,0.4866206403044429,0.4520607920359529,0.6112865159699299,0.5998720136452869,0.5730509139145316,0.5974736290599584,0.6170014691444703,0.5857582920663154,0.7093373358601298,0.4750914424990419,0.5063111789371442,0.6641800070600867,0.616100700477535,0.6399525047027733,0.6891175391344888,0.626183181837957,0.581111250470496,0.6654604583540499,0.6722955650224556,0.6570070962955912,0.664759164395378,0.4643633112646771,0.6405094644353357,0.7576430732926758,0.461129126768181,0.6099663942860237,0.6256880710277608,0.6994230796149742,0.6593906570910558,0.6495746274708268,0.41870978497265154,0.5329392429139057,0.6062055946845373,0.5807417759559257,0.6397362933670817,0.6018222614804717,0.6453790300485411,0.6984455223394461,0.6193691473831193,0.5029540340932552,0.6597017343846686,0.5252608471578091,0.48406341479980425,0.4290305773141421,0.6043173148343003,0.6890228241399433,0.6511276837223331,0.47090862703973413,0.6164069492123792,0.6647646485737877,0.5940326210225458,0.6253623942078429,0.6507024601827758,0.693777924473098,0.5708818402267756,0.41736510439401664,0.5563249035725122,0.5626324378661116,0.4165175076696944,0.5028799339708121,0.6269561840260639,0.5724366719100856,0.6782896390239518,0.6559393201351214,0.6180819066948922,0.6497785510703715,0.6500721119839382,0.571842369753661,0.43711632680974394,0.6398866217736843,0.5948080810569168,0.5535799898861183,0.6290984397836128
HE4VEN ～天国へようこそ～,0.6284999698478363,0.694967680267065,0.5952084699743574,0.5735980552490154,0.723132735932569,0.7477557498810191,0.6381246028864952,0.7674899798580594,1.0,0.39214178504947006,0.7959716821047752,0.7629021967394725,0.6851410001863252,0.7319095300661599,0.34816445148304276,0.6493856181039573,0.5249751095847565,0.3055897548952241,0.5028758895014414,0.45114337718920305,0.5840604918375332,0.6899614015375025,0.517141099202611,0.3722318193261398,0.5359247449781326,0.301469133125825,0.5361385122972535,0.45821394842094726,0.6208889298650481,0.44550819363752553,0.44810867918679753,0.5553615677833883,0.5666271437028569,0.49809017894229524,0.5389877171225529,0.5551401774629963,0.5127023113660292,0.6754120702416273,0.4194352644772833,0.44415952606991443,0.6206418797481756,0.5774875901684489,0.5775221318401007,0.6767880524291651,0.5522832023502707,0.49734365164360733,0.6347086212955765,0.6012925657330183,0.6261584339517496,0.6695438975519711,0.3899986683121435,0.595345902793015,0.7524692766642587,0.4392340669590012,0.5612888452439413,0.6272613073338401,0.6573700432182419,0.6444442612472295,0.5488440575589122,0.37045640304568345,0.4911877487505603,0.5107700079347395,0.5450124466293947,0.6210152340954228,0.5660098728576554,0.6265528216262576,0.6705024967008669,0.5991728715243292,0.47916484208720866,0.6225372254547576,0.5411176417127259,0.4579193905205171,0.384270297278489,0.6281155518802655,0.6910643070938308,0.6309640343836325,0.48412114321348304,0.6180833189676449,0.6185302924742572,0.5763273834037622,0.6773143959790304,0.6497228948547173,0.6859452493424207,0.6078829740542406,0.37039671809566493,0.5270516120567406,0.5305418142903412,0.37253954617619733,0.48649566477762846,0.6096719148233529,0.5446585942300893,0.6248970925381445,0.6136966839909695,0.5620092317013724,0.6437476177316369,0.6444591703190824,0.5956448140944129,0.41678145786983856,0.6904934893719453,0.64093819440067,0.5651136791517847,0.6344522449152746
I,0.44267715374919103,0.47275883790501366,0.41462012541084753,0.42663582306415465,0.4762276483617971,0.4491605138349896,0.431788002638053,0.43906822734455786,0.39214178504947006,1.0,0.3542324913485809,0.3874072313571451,0.4335687409733735,0.3843939048564978,0.5006629760501927,0.5159864261492321,0.5869765709738152,0.5065464488553562,0.5027433645397149,0.9997186731848583,0.5424777212241978,0.532031871150726,0.45308715375452824,0.3898006218598883,0.47982803178687294,0.4127156105217303,0.42936301030943197,0.508883530265902,0.4657608426109491,0.5926938581803703,0.4959024097060571,0.4921711251577238,0.5125110767061606,0.49351709196496285,0.5948713493963916,0.4856196270427411,0.4415525399135855,0.45301213513709265,0.4415971254772299,0.4663772700825243,0.5028843928294501,0.42036801917776156,0.5144484746632351,0.4917750098977145,0.5270235846865431,0.36279980213783714,0.4514190634295943,0.4335392990188932,0.4377246068016033,0.40942678763134793,0.3835732643138909,0.42973988081583686,0.4178560269391959,0.4135967799061336,0.47343106274310376,0.3595676300980585,0.43203769605177916,0.36426589526427816,0.41767116086101247,0.3871495121339638,0.3726050517210866,0.4500136700916958,0.41576332573692837,0.3837730593444783,0.3516482366625841,0.37807650568290707,0.4117545516924838,0.39334457088010766,0.3707226493469043,0.5267344674364689,0.40576978779931216,0.3626358729262548,0.36889961335426824,0.3197067907777057,0.4013184785602893,0.3258037978734017,0.33973259907841996,0.35142612229506015,0.4120058394423708,0.37288358929426985,0.3490625156316106,0.39553855045019165,0.37846049341133847,0.31930832888899024,0.4218332152212479,0.457530607636017,0.4670081043527003,0.3548532896232846,0.4091190107932122,0.47502327708821457,0.4675429275594811,0.4154435893649049,0.4130101150220556,0.4083946855143698,0.3727830390824303,0.37561094778248477,0.400823837711077,0.3586256995133843,0.3414218623973502,0.31962166916618,0.2887280499510074,0.329886605021818
