,666,ΣgØ,"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",MAYHEM,VVelcome!!,ΣmbryØ,*Feels Seasickness...*,FIN4LE ～終止線の彼方へ～,HE4VEN ～天国へようこそ～,I,iLLness LiLin,WHITEOUT,Xronièr,Lachryma《Re:Queen’M》,777,αzalea,Bad Elixir,Chronomia,onslaught -Retaliation of Bahamūt-,VALKYRIE ASSAULT,ディスコルディア,ドゥサンコオデッセイ!!,9TH5IN,ANGER of the GOD,Calamity Tempest,Daisycutter,ENDYMION,Ghost Family Living In Graveyard,Lancelot ～Flame of the Rebellion～,Lisa-RICCIA,LubedeR,ΛΛemoria,†:OLPHEUX:†,OUTERHEΛVEN,Redshift 2nd Ignition,ЯeviveR,TENKAICHI ULTIMATE BOSSRUSH MEDLEY,THE凸GENERATOR,Trill auf G,voltississimo,Xroniàl Xéro,θコトノハθカプセルθ,色を喪った街,卑弥呼,飄える翼追い掛けて,A Lasting Promise,Absolute Domination,Awakening,BELOBOG,Chrono Diver -PENDULUMs-,Cross Fire,Deadly force,Dyscontrolled Galaxy,Elemental Creation,Failnaught,Fin.ArcDeaR,Fly Like You,FREEDOM DiVE,GERBERA-For Finalists-,GODHEART,Immortal saga,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Empress Side,Last Resort,Sailing Force,Staring at star,TWO-TORIAL,Xéroa,セイレーン ～悲壮の竪琴～,逆月,INF-B《L-aste-R》,FLOWER,Got more raves？,きたさいたま2000,極圏,ΑΩ,Blastix Riotz,DIABLOSIS::Nāga,Everlasting Message,FLügeL《Λrp:ΣggyØ》,KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,Lord=Crossight,Preserved Valkyria,XyHATTE,月光乱舞,Innocent Tempest,IX,ラクガキスト,音楽 -resolve-,Booths of Fighters,For UltraPlayers,INSECTICIDE,Quietus Ray,Verse IV,バンブーソード・ガール,Bangin' Burst,Black Emperor,BLACK or WHITE?,Growth Memories,snow storm -euphoria-,XROSS INFECTION,大宇宙ステージ,Ganymede kamome mix
666,1.0,0.7701867519837318,0.6735648341158443,0.7196884883153072,0.7665675310730243,0.7424905174191659,0.7158335310060107,0.723831671180112,0.6806831909162413,0.5445641444589338,0.7007450098389217,0.6674597129754165,0.7201973226690603,0.655358481474821,0.6082883096915606,0.695919950410317,0.6183025494439621,0.48749769127854503,0.6198672022806018,0.5747509300896811,0.6704748609343124,0.7047810645079483,0.6703175630654532,0.6367751432225488,0.6456689287732006,0.4808723580858883,0.6139462703744186,0.6891329128770352,0.6894837572325613,0.6517175615530861,0.5913429529743329,0.6626141097247418,0.6640286511349754,0.6595440594008882,0.6282492996245688,0.7211356413095662,0.6995483576529528,0.6990318211083654,0.6571538850588973,0.7055613725392995,0.6875123474636305,0.6968414785185967,0.6980032552977382,0.712271636226679,0.6520483847385058,0.6265806343395797,0.6991432856794212,0.6700488877124235,0.7118838192011475,0.6766694028874993,0.6546123283861965,0.6538321757279445,0.7087108161228396,0.6422671720402464,0.6848226407023923,0.635722739294194,0.6828394604493021,0.6635095419024556,0.6878254770324923,0.6169670895710945,0.6075536338257658,0.6618880951633105,0.66271796719292,0.6135299712405288,0.6225360830418422,0.6658179124966255,0.7055955764884848,0.6698772685755912,0.6640376541398948,0.6876725114729937,0.633380425096064,0.6228438119888589,0.5944955781465826,0.6348456338317249,0.6723932471164059,0.6554119926269715,0.6092417281284792,0.6388029274197844,0.692403829015115,0.6402569793365105,0.6332164764818616,0.6766705696721125,0.6622096292812814,0.6167828663140952,0.6313865480628332,0.6393416747938736,0.6565234294238018,0.6515034382684501,0.6514225350539603,0.6861871842247954,0.6602916590547975,0.6660319693506063,0.6841794876632822,0.6554865880147503,0.6743779607375889,0.6801733314878252,0.6578199037241863,0.5876556783539416,0.6443276842411694,0.630542978027743,0.5849567841539566,0.6426965358152318
ΣgØ,0.7701867519837318,1.0,0.656704144540552,0.7399022015383877,0.7807372357536498,0.8223331650079182,0.7270831943894941,0.7668744667473012,0.7573691842916291,0.5532546476791891,0.7512878593668558,0.7477764893568972,0.7743884009076304,0.7069150722376121,0.5717334833938352,0.7368521521230668,0.654769924411251,0.4898270328698878,0.623514455163428,0.5901138487492004,0.7042609377930716,0.7425786075934702,0.7296440686967625,0.6868384315087291,0.675056999563568,0.3967960975358494,0.6439004709993721,0.6800949795937912,0.7613456451415506,0.6687225969994273,0.6037261606449954,0.694130694079024,0.6894924072262154,0.6947884291230603,0.6565503734524575,0.7315264743464491,0.6969647985470512,0.784861965259838,0.7048857149933578,0.7621429821041518,0.6986345734780516,0.7740681010766208,0.695284704558308,0.7636777817023771,0.6577946723331649,0.6369195719479668,0.7571027261622452,0.7344400636969305,0.7622843944894503,0.7688183671435695,0.6739308382800063,0.7189909894035961,0.7580866361279311,0.7184946283201948,0.7587767304031583,0.7333331960633582,0.7550193238336326,0.741771919712315,0.7088063243205138,0.6507037453477004,0.6740776521655034,0.6623768624876432,0.7432072609938178,0.6905591851504809,0.6964585755732513,0.7326082082626795,0.7518370067956731,0.7239355420324158,0.7329677792385492,0.7253920511912769,0.7161636023236924,0.6867511908985456,0.6242571696704385,0.7054560700817984,0.7226868863258807,0.670400015650625,0.6120282928211941,0.67674695906599,0.6985514426788184,0.6634185576896842,0.6949239757568124,0.7596757027367349,0.6999475850003662,0.6789254692621323,0.6678603901803551,0.6948386006824071,0.7344141366086475,0.701471746018624,0.6922440874706699,0.7401591079390413,0.7401762413263814,0.7210796330812692,0.7342699389869161,0.708056210453351,0.7351566563006149,0.7186188743245191,0.7115544329167405,0.6332034541315346,0.7216357647428231,0.7126465992036932,0.6548858859974173,0.6990645438718692
"* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?",0.6735648341158443,0.656704144540552,1.0,0.598444197211467,0.6165805215769011,0.6248957643798294,0.697177502711911,0.6300398485320139,0.6075324739884366,0.49367925596813106,0.5998081369318603,0.5550583651671979,0.6029717563937739,0.5732558375418166,0.5329988993035331,0.6175138224618161,0.5254906864327555,0.4296513454342672,0.5176289135631146,0.549050287267356,0.5966392333481282,0.6105617845345102,0.5276510579537143,0.5220476383037451,0.524157365996962,0.4382247599977583,0.6702553993114231,0.596527415154539,0.5864481479199278,0.5738797642009145,0.5473883283577486,0.5497030982747958,0.5489439067611872,0.5323494213054979,0.5526946198761019,0.5823020186732569,0.568668953185556,0.5924018049235874,0.5542672250208349,0.5963663279797207,0.5635962732014673,0.5410552864586995,0.5851332326044445,0.6476727710762978,0.5270455890001262,0.5185542286222001,0.6109706981125674,0.5534018699825869,0.625206747853694,0.56644710566607,0.5628461581532728,0.5332282082957185,0.6192967697083704,0.5289476498987535,0.5797383899931263,0.5524714898925317,0.5730656499054798,0.5419237257359889,0.5400658806000225,0.5051752741141062,0.4953434972469353,0.5808237347866906,0.533370515971041,0.5076119625220032,0.49973939417458846,0.5760269639210698,0.585984530911362,0.5941557413180508,0.5459289912112633,0.5815811477282918,0.5711168470513316,0.5357810153244792,0.4855118465391125,0.5707329259374286,0.5993373073624667,0.567199476676524,0.4982162816468406,0.5458852033446023,0.6520493633128347,0.6400687924697164,0.5255028334132757,0.6035770130506529,0.5817283067759476,0.582964905636608,0.5224080300273576,0.49897866078462133,0.5253264267798545,0.5946293399099231,0.54994369119091,0.5596561234601587,0.5725888348705336,0.5661107683294134,0.5677512016667191,0.558114301035625,0.5850420890054929,0.6086883589610443,0.6023526102532953,0.5090293056962779,0.5627644645251235,0.5622683755662462,0.5543113547077195,0.60240545902132
MAYHEM,0.7196884883153072,0.7399022015383877,0.598444197211467,1.0,0.7659389246328739,0.7134555251501492,0.6803287678531614,0.7032906279357014,0.6903893444270184,0.566061651316285,0.7071670775334864,0.6850721326891057,0.730586081856849,0.6687135335907606,0.6188702409427805,0.7169398773547229,0.6403118871224126,0.5479357718945702,0.6548361802477993,0.5943818429645344,0.6917177233961503,0.7186365314672755,0.6900642854275743,0.6559792752687261,0.6816131710360327,0.4830562974754589,0.5900467629583555,0.6534088397327862,0.6548596625536863,0.683862973263839,0.6214170206141056,0.6906837659905483,0.7072033034908611,0.6566827037228152,0.6554295881379785,0.6792677152620277,0.6637151212085911,0.6823058525023289,0.6702622785059594,0.6782991283648104,0.6934649101681488,0.6976246799856137,0.6643719243766996,0.6981447272469226,0.6640195875830637,0.6111326980893109,0.6834565633616838,0.6660278351422169,0.6737431652985664,0.6565152937664664,0.6707098388709098,0.6639585716647507,0.7041655938937145,0.6558041274515899,0.6617778529623373,0.6623294798930595,0.6588611047047785,0.6900242624282915,0.6717393366011291,0.6166655305244353,0.6529721141819044,0.637670089121316,0.7243869642881325,0.645496984314579,0.6827153067077649,0.6952712809385614,0.6757416759390437,0.6540905606151516,0.6489418177127603,0.7041694421951201,0.6288830020277743,0.649404664078597,0.6435868089809731,0.6666171807632624,0.6600143694103012,0.6556782130596674,0.6312047685721098,0.6595557821854606,0.6501950387174275,0.631919826871909,0.632168353258389,0.660856795300647,0.6651024150714678,0.631529369802255,0.6259545513793053,0.6909180432712861,0.7013166128262265,0.6377295267285549,0.633381168817948,0.6904290220654813,0.6695310244974374,0.6492065744323063,0.6973031605160602,0.6451475387264994,0.6694484204569198,0.6704367212622283,0.644510880467773,0.6378159832382941,0.6895528329918901,0.6695446385584083,0.589314003776218,0.6033946782445496
VVelcome!!,0.7665675310730243,0.7807372357536498,0.6165805215769011,0.7659389246328739,1.0,0.7590306948106628,0.6969523691299169,0.7643030895519113,0.7362820170670805,0.5482569862065939,0.757176692862663,0.7574764063857439,0.7228039647742801,0.6954896925324112,0.5437666308916645,0.7453210185175028,0.6675646662735771,0.49793661759360336,0.6622957152235043,0.5686233269300434,0.7511766049577127,0.7835257586514255,0.740671988032224,0.6531898028272736,0.6930460535149646,0.41966011143981213,0.5907942742752007,0.6458552930581158,0.7352390777933024,0.6484084559222931,0.5901223888960101,0.704670602607582,0.7406423797910263,0.6714563943809311,0.7039916264703645,0.7319001432742961,0.6658415341506858,0.7627023224146254,0.678854951132392,0.68678231254772,0.747596693958096,0.7762234514618951,0.7111225462248252,0.7631774822715943,0.6835793693873171,0.6145795339755682,0.7263304793408804,0.7510441303243797,0.7090702326764535,0.7264409620606896,0.61713777751449,0.7177053819988091,0.7496709764488263,0.6757912533057648,0.6960162317681732,0.7054082983551518,0.751436786466419,0.7406103584685326,0.7125911205166232,0.6212652802780071,0.6709593089670163,0.6081580422272371,0.7225183243907456,0.6941979968329587,0.7042151828343275,0.6886149215764383,0.7453083291875905,0.6917820629719359,0.6867951281318704,0.7500942947842887,0.6530847776416584,0.6390376634436633,0.5804682345253867,0.6683152747802955,0.6780321569668298,0.6579582170579426,0.6042060234541714,0.6543007032488805,0.6790675254980809,0.6201134656484932,0.6792351013353559,0.698693213823385,0.7061678867695282,0.6177291110971886,0.6424363059381522,0.7393516142717075,0.7131638710817951,0.6471295263147598,0.6562107355209035,0.7146131824469116,0.6604315578532799,0.6966311955861241,0.7160075765070638,0.6882976573320924,0.6824088588875344,0.6736283539764425,0.6626462903440783,0.5971527299445962,0.7088138572116465,0.6605212861196896,0.6196876111475257,0.6399457073069925
ΣmbryØ,0.7424905174191659,0.8223331650079182,0.6248957643798294,0.7134555251501492,0.7590306948106628,1.0,0.7204064762083761,0.775091544756963,0.7713189596038845,0.5260725488874353,0.7569393337325931,0.7500527669094327,0.7835803806472491,0.7147470026324555,0.5369692604812736,0.7037284249072555,0.6253033399599519,0.45995510490828867,0.6130355847472126,0.565641438589902,0.6890733553496873,0.7319961843724971,0.6832597356892849,0.6483143253059449,0.6398536268507945,0.38507081997858317,0.6164000644700439,0.6265783884545961,0.710613849200402,0.6214730145012937,0.5630278114002295,0.6600189672883242,0.6541766853669302,0.6353311035330884,0.621709740594549,0.6862241633629208,0.6551509923838915,0.7466078872435896,0.6523897010182901,0.7002192844844662,0.6860153854514753,0.7206561103808252,0.6424180997311052,0.7410083719424647,0.6205184855488097,0.6009066788424434,0.721349631723815,0.7087872694687254,0.7483619709072233,0.7538869748977234,0.6598052121389985,0.7101643025617299,0.7599614245103143,0.7145331041438077,0.7166127190429835,0.7266479851994704,0.7397070891840242,0.7403541253344906,0.6822089710042085,0.6241260499930851,0.657317594979774,0.6550376249863268,0.7086696256150138,0.7040279524117936,0.6984273021132364,0.7126784819570834,0.7449224374971105,0.7138660169257756,0.7006907277561376,0.6964326795430844,0.702895189300587,0.6689502778854627,0.5915316260305379,0.7010765102657134,0.7296620631638211,0.659521925132169,0.6196320415349211,0.676569257894991,0.6894050100512444,0.6445723394210896,0.6992262650309004,0.7325629712449543,0.688794366718765,0.6956775183441621,0.6272045081880623,0.660337374697303,0.6808809701348977,0.6497372355945799,0.6857388820122822,0.737449530920862,0.709961446089215,0.7182375057171642,0.7249430108244712,0.6869433962839193,0.7272519150175198,0.7198648134936291,0.7005164266253127,0.6263073565192326,0.7292282844544046,0.6999703853619392,0.653339328736577,0.6674133103753286
*Feels Seasickness...*,0.7158335310060107,0.7270831943894941,0.697177502711911,0.6803287678531614,0.6969523691299169,0.7204064762083761,1.0,0.6959651630025964,0.7034045716848882,0.5169544529457817,0.6621469383855612,0.6427396671050147,0.7037647586792052,0.6293451490398096,0.5355217196961155,0.7021179405815892,0.5830772155759448,0.5031537103354736,0.5662497599324005,0.571561428901663,0.6320348385647316,0.6395046423032655,0.5991490945542141,0.605935207285756,0.5819914889890591,0.48739497985508445,0.6439053778671848,0.666681029075009,0.6559503709772481,0.5711846182307274,0.61281814625841,0.6157651545398916,0.6037817489799878,0.5891396527837469,0.5923569040447514,0.6067925952036872,0.6290909870513556,0.6652373112024713,0.5806340956020166,0.6439390686468328,0.6158816654807501,0.5999508613583987,0.6461078134544197,0.6786683683202248,0.5983242585870999,0.5424047136728196,0.6775126131740908,0.6324167821945863,0.6834814171423786,0.651260263036458,0.6313437148447602,0.6124282826070484,0.6840689622996778,0.5889692405729466,0.6626309209983535,0.6077703932422632,0.6663253066716837,0.6323584231928456,0.6163404459486325,0.611534936814408,0.5538129618997408,0.6360286982919888,0.6117218341769579,0.6004057462974154,0.5881098084387055,0.653737164114655,0.6795732732331957,0.6819192297400266,0.6299105574176186,0.6376386872566419,0.6372587537741379,0.6090991767991799,0.5661902769356604,0.6064339030546079,0.6477660689383892,0.5841358570684306,0.5827814412058244,0.6283914216956029,0.7126142792940687,0.667577606959659,0.6116079526693767,0.6613676134907434,0.6257522816884294,0.650208817507949,0.6237276422165153,0.5801448248680005,0.6137363036933894,0.6573680986117921,0.6531370637630155,0.6571787448027326,0.627522617702557,0.6452468643999532,0.6373236370355405,0.6128983306770467,0.6456325316937532,0.6309118159819422,0.6593789713109649,0.5903554046157641,0.6328212892992803,0.6279778825519116,0.5388683894880439,0.6253255593621317
FIN4LE ～終止線の彼方へ～,0.723831671180112,0.7668744667473012,0.6300398485320139,0.7032906279357014,0.7643030895519113,0.775091544756963,0.6959651630025964,1.0,0.7794235707958169,0.5152247712770109,0.7747586633322144,0.7841603134570505,0.744610220938208,0.7333755124678981,0.5259336772054717,0.6999343812994138,0.6552378362897957,0.45687976929418084,0.6089637764337605,0.568919197470833,0.7023802321621707,0.7432108904681914,0.6808383641628408,0.6003422959781703,0.6711286921843616,0.41934338903402774,0.5965440613893843,0.5918113713552257,0.7264740211546514,0.6197389846690063,0.5403474327079416,0.6743695385350658,0.6789016873029405,0.6568466195386324,0.6533928082238989,0.6930959933689546,0.6641711280876664,0.7531824526316764,0.6419612757057804,0.6731079249620441,0.6961586269006902,0.7043525211305163,0.6809752264621629,0.7376320058519434,0.6664865662951921,0.6283399553536619,0.7247383908733419,0.7347293132283845,0.7317499832109381,0.7234868592011815,0.5968796112483179,0.7173669631921038,0.7640640674617081,0.6512636557854369,0.6909681403286754,0.7077009059460749,0.7404006732893486,0.7235200037414096,0.7181253451720189,0.5952821762100166,0.6683755173668235,0.6571595439290063,0.6906585986361017,0.718943071228127,0.6896807682929772,0.7021633824449013,0.7312188426109514,0.7151141661452782,0.6718156671034758,0.7012330575277715,0.6669714057358537,0.6277310064869449,0.5560916749487568,0.6820652755971108,0.6977429224504229,0.6642565747458349,0.582086340683533,0.6657659409971158,0.7236922708352083,0.6406863957410714,0.6835275110020452,0.7285255904973709,0.7154350470146772,0.6437016966090925,0.6088322602827849,0.6724148745568684,0.6636789921441084,0.6088974118728121,0.6432459956887148,0.7022205004727144,0.6578683106563046,0.7379706928227758,0.7295605873934181,0.7035489801265856,0.6937384884542391,0.6954635702945445,0.6627269273887281,0.5885413765172189,0.7002857786570982,0.6725945169897998,0.618871423568794,0.662782232633476
HE4VEN ～天国へようこそ～,0.6806831909162413,0.7573691842916291,0.6075324739884366,0.6903893444270184,0.7362820170670805,0.7713189596038845,0.7034045716848882,0.7794235707958169,1.0,0.48947265612340735,0.8067276363471946,0.7863728876106594,0.7362067176730925,0.743769182909128,0.45240791766896604,0.7172724500843993,0.6028775121997239,0.41613745369706123,0.55601824514093,0.5409658092317536,0.659791346344702,0.7400623681736584,0.6497488823595009,0.5965144577021594,0.6167009638179712,0.3618062211901758,0.6155209563537638,0.5600534211613033,0.6833555603021367,0.6146662697722642,0.5393256226315819,0.6294756247200075,0.6504774660593067,0.5979798060326238,0.6104848747197563,0.6415086015846985,0.6120017678723193,0.7204379565060678,0.6168133558951988,0.6502413923614343,0.6735506228722716,0.6886642916896168,0.6325411851412212,0.730195337240107,0.600669736301344,0.5569307615196808,0.7100314495428087,0.6832628285722521,0.7231318088687666,0.7432970693347811,0.5669177119916161,0.6898198727911441,0.7680059659225863,0.6477829242755663,0.6559489589756311,0.726659959942114,0.72374146680122,0.7315655265790589,0.6479116650437515,0.5687631722372799,0.6422708621073951,0.5840093350671784,0.6824341476288281,0.7154893686459076,0.7046060860227557,0.7069921680142195,0.7147097604319127,0.7162678093105543,0.6593898170808228,0.6725868929270779,0.6910784795645659,0.6343793127393028,0.541147042708785,0.7150870512310972,0.7211323411929631,0.6638395951029898,0.5938381311723406,0.6871854266067663,0.7030282362716671,0.6300267193878738,0.7382111993510614,0.7462586824450501,0.7162828463116643,0.7048947301729602,0.5881165437954264,0.6451155491861248,0.6456259026773844,0.5976979580913128,0.6504860051119921,0.6891286766888808,0.6601303691388317,0.6910478028828871,0.7020750107652759,0.6679070688603126,0.7166676953678927,0.7086743070008261,0.7103903097614734,0.6037031098984517,0.7682009319316585,0.7134212039547106,0.6432871466488882,0.675446525683181
I,0.5445641444589338,0.5532546476791891,0.49367925596813106,0.566061651316285,0.5482569862065939,0.5260725488874353,0.5169544529457817,0.5152247712770109,0.48947265612340735,1.0,0.44754740828410344,0.46551692041350407,0.5159870703266842,0.4704560140726397,0.5995348360685088,0.7050297633453073,0.6633121527424009,0.588861558720728,0.5915663565705148,0.9995574894817588,0.6252785581181138,0.6702143096268205,0.5646000261886807,0.5706488769921783,0.5962518870531898,0.47072023363747845,0.49726840641095565,0.5744699061855579,0.5568538831632407,0.6750180132132949,0.5698901078785882,0.5999896955949212,0.6015816477909275,0.5794195745505385,0.6477705381323386,0.5669504760364377,0.513629910718446,0.5396480927649516,0.5448017064857142,0.5788521592837277,0.5751876733496897,0.5401953757091622,0.6040903418849458,0.5789079796265995,0.6211253428643148,0.44012671135422626,0.5551520721032883,0.5385097942591361,0.5591731266285692,0.5190363351452123,0.5016116315730414,0.5055909835939296,0.49224831876795394,0.5212117788546051,0.5699174022277518,0.5064173994030293,0.5173123796770975,0.5024998950221056,0.5203335115234631,0.5279234662090728,0.4915480604610084,0.53548057111787,0.512403413193498,0.46837720100454405,0.4916365671966414,0.5007229626360207,0.5073600510042982,0.5160839197809263,0.47747591785479,0.61664292294391,0.5210322197849409,0.5253282950089491,0.5162522912630934,0.4582992390038638,0.5019601197928864,0.42709398139930305,0.4580500949667872,0.48076612348743647,0.5234862337765936,0.48372125914547703,0.47613327358805074,0.5114624459224496,0.48539769925485443,0.4507763202841492,0.5606239328758383,0.5810945291887479,0.5711384685652431,0.5353704565401307,0.5407039633469507,0.5603649291020564,0.5472551262315376,0.5225802058338922,0.5390194978411905,0.5493661780365605,0.49698233994435387,0.48830185207413657,0.5149241008608259,0.47302102638616905,0.46301416949102503,0.4783761350301098,0.4179342207644715,0.4455708811725576
